step	loss
49	2.2994019985198975
99	2.2652440071105957
149	2.256770133972168
199	2.1604056358337402
249	1.883437991142273
299	2.001091241836548
349	1.958486557006836
399	1.9285961389541626
449	2.010493755340576
499	2.002310276031494
549	1.8645316362380981
599	1.8452301025390625
649	2.0219550132751465
699	1.8747283220291138
749	1.7333930730819702
799	1.762669324874878
849	1.6795988082885742
899	1.6549488306045532
949	1.8345279693603516
999	1.7894290685653687
1049	1.9288009405136108
1099	1.644235372543335
1149	1.6130152940750122
1199	1.739790916442871
1249	1.9112459421157837
